coef_names,coef,se,obs,obs_ctrl,obs_trmt,sub_obs,sub_obs_ctrl,sub_obs_trmt,outcome,Rel_month,Interacted_rel,notes
post::1:inun_group::FFE flooded 1Q,0.012674218758933898,0.0031882321297938493,426590,252143,174447,46668,25934,20734,dlq90,1,FFE flooded 1Q,
post::1:inun_group::FFE flooded 2Q,0.00787312640622781,0.002588924624066889,426590,252143,174447,46668,25934,20734,dlq90,1,FFE flooded 2Q,
post::1:inun_group::FFE flooded 3Q,0.016540028104393256,0.0037332998392667605,426590,252143,174447,46668,25934,20734,dlq90,1,FFE flooded 3Q,
post::1:inun_group::FFE flooded 4Q,0.022238342164338537,0.003883192931202854,426590,252143,174447,46668,25934,20734,dlq90,1,FFE flooded 4Q,
post::1:inun_group::FFE not flooded,0.007512304256443268,0.0012753941035787257,426590,252143,174447,46668,25934,20734,dlq90,1,FFE not flooded,
