coef_names,coef,se,obs,obs_ctrl,obs_trmt,sub_obs,sub_obs_ctrl,sub_obs_trmt,outcome,Rel_month,Interacted_rel,notes
post::1:inun_group::FFE flooded 1Q,0.006643383872362833,0.0024258879602401064,430163,258049,172114,42608,24071,18537,dlq90,1,FFE flooded 1Q,
post::1:inun_group::FFE flooded 2Q,0.005721230475065679,0.0022080378226564655,430163,258049,172114,42608,24071,18537,dlq90,1,FFE flooded 2Q,
post::1:inun_group::FFE flooded 3Q,0.011967742816420563,0.002861392768544179,430163,258049,172114,42608,24071,18537,dlq90,1,FFE flooded 3Q,
post::1:inun_group::FFE flooded 4Q,0.013522859999565384,0.0028728038035989913,430163,258049,172114,42608,24071,18537,dlq90,1,FFE flooded 4Q,
post::1:inun_group::FFE not flooded,0.004032458841822052,9.344565657117141e-4,430163,258049,172114,42608,24071,18537,dlq90,1,FFE not flooded,
