county_id,propcount_2020_100yr_all,propcount_2020_100yr_<0,propcount_2020_100yr_q1,propcount_2020_100yr_q2,propcount_2020_100yr_q3,propcount_2020_100yr_q4,propcount_2020_500yr_all,propcount_2020_500yr_<0,propcount_2020_500yr_q1,propcount_2020_500yr_q2,propcount_2020_500yr_q3,propcount_2020_500yr_q4,propcount_2050_100yr_all,propcount_2050_100yr_<0,propcount_2050_100yr_q1,propcount_2050_100yr_q2,propcount_2050_100yr_q3,propcount_2050_100yr_q4,propcount_2050_500yr_all,propcount_2050_500yr_<0,propcount_2050_500yr_q1,propcount_2050_500yr_q2,propcount_2050_500yr_q3,propcount_2050_500yr_q4,n_props
8035.0,2056,1304,98,113,203,338,3091,1962,169,197,313,449,2084,1323,105,112,206,338,3156,1997,173,203,318,464,117440.0
8037.0,2739,942,74,121,286,1311,3530,1102,122,170,365,1765,2817,962,79,121,287,1363,3646,1127,118,185,363,1847,17958.0
8039.0,292,188,12,16,32,44,366,222,27,20,38,59,292,190,13,15,30,44,363,219,27,20,37,60,9657.0
8041.0,12594,7980,480,703,1148,2279,18874,11599,798,1017,1902,3554,12441,7868,479,702,1132,2256,18789,11569,773,1014,1896,3533,221728.0
8043.0,1580,997,51,68,130,326,2344,1364,82,106,209,571,1592,1004,48,68,135,329,2371,1376,74,110,224,575,17453.0
8045.0,1372,443,37,57,115,719,1842,648,48,65,190,889,1424,463,40,60,124,736,1921,706,49,71,192,901,18080.0
8047.0,411,54,5,11,47,293,432,61,7,6,43,314,417,58,4,14,45,295,438,62,8,8,44,315,3368.0
8049.0,1106,648,30,37,73,313,1486,741,36,51,97,555,1138,678,34,40,80,301,1509,754,30,54,102,563,11882.0
8051.0,1419,816,28,46,101,426,1703,816,52,64,144,625,1449,829,29,46,113,430,1720,821,49,73,148,627,8398.0
8055.0,377,157,13,15,47,144,566,269,24,21,63,185,381,158,13,15,49,145,572,270,26,24,63,185,3950.0
8059.0,5046,2594,170,232,449,1587,8242,4982,272,400,679,1893,5346,2802,191,249,474,1616,8618,5234,300,414,708,1946,181146.0
8063.0,37,27,0,1,3,6,59,43,2,2,1,11,37,27,0,1,4,5,57,41,3,1,1,11,2418.0
8065.0,134,71,5,2,14,42,200,106,14,12,14,54,148,80,5,5,18,40,230,132,15,12,20,51,3759.0
8067.0,3329,1692,116,178,376,962,3992,1803,132,211,434,1405,3420,1712,113,184,404,1002,4066,1818,139,223,452,1428,21782.0
8069.0,6283,3811,152,214,407,1694,10443,6774,309,401,671,2278,6519,3986,143,229,416,1740,10773,6965,321,440,694,2343,117930.0
8071.0,561,227,28,29,62,215,689,265,33,42,75,273,560,224,30,31,62,213,688,268,29,44,75,271,6149.0
8073.0,73,54,3,3,3,10,114,84,3,5,9,13,73,54,4,2,3,10,112,82,5,3,10,12,687.0
8075.0,422,410,2,4,3,3,942,869,4,19,42,8,419,408,2,3,3,3,940,868,4,17,45,6,6685.0
8077.0,1586,914,63,96,187,322,2886,1731,78,102,251,719,1638,981,58,92,186,317,2981,1829,79,95,260,713,58922.0
8079.0,252,84,9,11,32,115,329,104,10,9,34,169,261,86,8,9,37,120,334,104,10,13,35,169,1213.0
8081.0,888,716,28,21,44,76,1106,529,55,127,264,128,893,722,22,26,45,75,1113,538,58,131,254,129,4428.0
8083.0,628,432,16,19,33,128,761,446,15,27,53,220,631,435,15,18,34,129,787,469,19,28,53,218,8648.0
8085.0,765,612,20,24,47,62,1350,1089,24,52,64,121,782,625,22,25,49,61,1433,1159,31,51,68,124,15550.0
8087.0,1332,670,57,65,75,465,1740,885,93,98,122,542,1348,674,59,72,73,470,1751,885,95,107,118,546,9050.0
8089.0,196,169,1,3,15,8,334,288,7,4,12,22,196,169,1,3,15,8,335,289,7,4,13,21,7389.0
8091.0,332,111,14,10,35,162,470,191,16,22,39,202,343,117,14,14,34,164,497,206,18,19,46,208,2817.0
8093.0,1031,354,27,56,142,452,1180,399,41,56,133,551,1044,359,27,54,147,457,1197,409,39,56,140,553,12626.0
8095.0,119,109,1,3,2,1,190,169,3,5,6,3,116,106,1,3,2,1,189,169,2,4,7,3,1488.0
8097.0,1433,670,32,57,158,516,1779,774,49,77,158,721,1486,699,40,49,173,525,1806,786,53,78,157,732,11768.0
8099.0,999,813,50,69,56,8,1664,1237,80,81,170,92,998,810,49,68,60,8,1666,1242,66,92,170,92,4815.0
8101.0,1624,1148,40,48,99,286,3634,2894,55,93,134,453,1706,1222,38,49,104,290,3662,2917,55,92,139,454,58446.0
8103.0,411,219,6,12,32,142,557,253,18,40,56,190,432,234,8,11,33,146,575,271,19,39,55,191,2656.0
8105.0,495,203,9,16,44,223,1078,690,27,25,42,294,510,210,11,17,39,233,1144,743,29,34,41,297,5537.0
8107.0,1441,845,61,77,141,316,1756,902,77,123,205,448,1474,859,58,81,147,328,1779,896,83,126,211,462,10485.0
8109.0,353,210,12,17,28,82,561,357,26,28,38,108,374,225,13,19,30,83,579,369,28,28,41,109,3522.0
8111.0,91,66,1,4,7,13,204,173,1,5,9,16,92,68,1,5,6,12,210,179,0,7,9,15,497.0
8113.0,449,135,12,23,56,223,522,149,19,23,49,282,460,137,16,22,63,222,534,155,19,26,47,287,3529.0
8115.0,39,38,0,0,0,1,217,216,0,0,0,1,37,36,0,0,0,1,198,197,0,0,0,1,1156.0
8117.0,1882,968,53,91,226,543,2586,1220,113,166,319,767,1974,1014,61,98,231,569,2674,1241,118,164,349,801,14056.0
8119.0,812,381,26,44,69,292,999,473,36,46,79,365,825,387,25,44,72,297,1005,473,36,47,85,364,12164.0
8123.0,3637,2192,424,414,397,184,6731,3455,785,910,1029,522,3714,2224,438,424,415,187,6886,3507,812,941,1061,535,105035.0
8125.0,247,202,8,13,13,11,368,286,15,18,26,23,240,195,11,11,12,11,363,285,15,16,26,21,3856.0
9001.0,23129,9085,1322,1943,4003,6772,30424,10416,1624,2556,5492,10331,24981,9095,1458,2070,4517,7835,32028,10252,1584,2625,5621,11940,202566.0
9003.0,12413,2868,995,1419,2810,4316,17616,3693,1259,1954,3639,7065,13354,3041,1096,1487,3003,4722,18460,3693,1350,1964,3879,7567,171562.0
9005.0,3782,2196,141,162,377,901,5002,2744,184,254,451,1364,3926,2279,131,169,385,957,5151,2730,228,277,465,1446,53417.0
9007.0,4313,2526,116,189,442,1039,5682,3215,127,238,497,1604,4743,2741,129,206,452,1214,6284,3612,138,228,523,1782,49752.0
9009.0,15789,9951,471,666,1389,3310,21547,13313,711,977,1896,4647,17905,11362,528,794,1563,3656,23314,13975,708,1069,2360,5199,187792.0
9011.0,5421,3864,124,179,354,899,6977,4674,176,234,533,1359,5924,4123,141,207,380,1072,7561,5001,161,276,551,1571,76589.0
9013.0,1769,1136,56,98,184,294,2349,1432,91,121,238,466,1851,1176,74,96,185,319,2431,1482,83,115,262,488,38384.0
9015.0,1606,1216,36,55,100,196,2119,1542,43,75,125,331,1679,1270,38,56,109,203,2187,1581,51,71,132,349,32369.0
10001.0,2628,2040,56,99,224,206,3914,2946,84,86,208,586,2892,2160,50,87,205,386,4155,3033,79,85,223,731,57668.0
10003.0,4628,3307,123,198,351,647,6648,4609,188,255,460,1132,5235,3744,132,197,413,745,7284,5039,193,293,511,1244,171916.0
10005.0,23880,13570,679,1019,2306,6231,30580,13716,607,1057,2803,12308,26598,12958,636,997,2870,9058,33256,13407,563,991,2271,15932,109220.0
11001.0,4932,934,422,607,1139,1830,7993,1425,654,906,1786,3222,5473,1057,463,636,1254,2063,8637,1497,697,992,1945,3506,97441.0
12001.0,5913,1794,698,750,1084,1581,8137,2026,923,1078,1475,2627,6601,1884,723,901,1203,1883,9032,2198,940,1177,1723,2985,74190.0
12003.0,455,190,40,57,70,98,701,260,81,83,100,177,521,197,62,61,75,126,802,279,85,113,102,223,8316.0
12005.0,16054,3479,971,1412,2905,7284,23002,4017,1157,1625,3356,12844,18950,3556,1056,1454,3162,9719,27080,4067,1198,1744,3781,16287,86036.0
12007.0,601,264,91,84,113,48,917,340,121,163,178,114,691,265,120,102,141,62,1041,359,155,168,223,135,9536.0
12009.0,44331,13036,3027,3868,7194,17184,59599,16284,4013,4645,6848,27784,51619,13805,3190,3756,6597,24249,67301,17631,4339,5099,6690,33513,208003.0
12011.0,123202,58123,16397,18431,19282,10958,197070,75445,26601,33204,38686,23121,139892,63235,18448,20590,21852,15756,217965,77190,27924,36494,46704,29639,436973.0
12013.0,206,50,21,37,49,46,278,58,23,36,60,97,224,52,20,38,51,60,306,65,25,45,59,108,5302.0
12015.0,70011,8540,965,1649,5637,53217,78428,6392,789,1250,3506,66488,76348,7664,933,1640,4271,61837,81663,3881,402,726,2375,74276,96369.0
12017.0,18530,3594,519,774,1716,11925,23000,3574,488,739,1621,16576,21239,3371,447,666,1493,15260,24593,3411,431,704,1439,18606,74311.0
12019.0,3559,1334,374,449,779,622,5389,1821,499,678,1064,1325,4281,1486,440,528,867,959,6442,2147,617,760,1101,1815,78756.0
12021.0,42953,8917,2719,3296,6728,20910,59477,8834,2513,3236,5878,38621,48709,8280,2460,3528,5967,28088,65687,8827,2802,3688,6082,43870,115572.0
12023.0,1709,423,141,222,430,492,2411,530,202,304,549,824,1959,460,189,243,493,573,2656,560,217,309,614,954,23076.0
12027.0,576,175,72,76,95,152,856,235,108,131,144,231,685,208,81,88,103,199,992,266,108,138,178,294,10244.0
